task_id	gap_kind	upstream_item	required_fixture	target_area	fixture_location	status
diagnostic:1007:Diagnostics.The_parser_expected_to_find_a_1_to_match_the_0_token_here	diagnostic	Diagnostics.The_parser_expected_to_find_a_1_to_match_the_0_token_here (TS1007)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1010:Diagnostics.Asterisk_Slash_expected	diagnostic	Diagnostics.Asterisk_Slash_expected (TS1010)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1012:Diagnostics.Unexpected_token	diagnostic	Diagnostics.Unexpected_token (TS1012)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1069:Diagnostics.Unexpected_token_A_type_parameter_name_was_expected_without_curly_braces	diagnostic	Diagnostics.Unexpected_token_A_type_parameter_name_was_expected_without_curly_braces (TS1069)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1129:Diagnostics.Statement_expected	diagnostic	Diagnostics.Statement_expected (TS1129)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1130:Diagnostics.case_or_default_expected	diagnostic	Diagnostics.case_or_default_expected (TS1130)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1132:Diagnostics.Enum_member_expected	diagnostic	Diagnostics.Enum_member_expected (TS1132)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1137:Diagnostics.Expression_or_comma_expected	diagnostic	Diagnostics.Expression_or_comma_expected (TS1137)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1140:Diagnostics.Type_argument_expected	diagnostic	Diagnostics.Type_argument_expected (TS1140)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1179:Diagnostics.Unexpected_token_expected	diagnostic	Diagnostics.Unexpected_token_expected (TS1179)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1199:Diagnostics.Unterminated_Unicode_escape_sequence	diagnostic	Diagnostics.Unterminated_Unicode_escape_sequence (TS1199)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1223:Diagnostics._0_tag_already_specified	diagnostic	Diagnostics._0_tag_already_specified (TS1223)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1327:Diagnostics.String_literal_with_double_quotes_expected	diagnostic	Diagnostics.String_literal_with_double_quotes_expected (TS1327)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1328:Diagnostics.Property_value_can_only_be_string_literal_numeric_literal_true_false_null_object_literal_or_array_literal	diagnostic	Diagnostics.Property_value_can_only_be_string_literal_numeric_literal_true_false_null_object_literal_or_array_literal (TS1328)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1357:Diagnostics.An_enum_member_name_must_be_followed_by_a_or	diagnostic	Diagnostics.An_enum_member_name_must_be_followed_by_a_or (TS1357)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1369:Diagnostics.Did_you_mean_0	diagnostic	Diagnostics.Did_you_mean_0 (TS1369)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1381:Diagnostics.Unexpected_token_Did_you_mean_or_rbrace	diagnostic	Diagnostics.Unexpected_token_Did_you_mean_or_rbrace (TS1381)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1382:Diagnostics.Unexpected_token_Did_you_mean_or_gt	diagnostic	Diagnostics.Unexpected_token_Did_you_mean_or_gt (TS1382)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1433:Diagnostics.Neither_decorators_nor_modifiers_may_be_applied_to_this_parameters	diagnostic	Diagnostics.Neither_decorators_nor_modifiers_may_be_applied_to_this_parameters (TS1433)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1436:Diagnostics.Decorators_must_precede_the_name_and_all_keywords_of_property_declarations	diagnostic	Diagnostics.Decorators_must_precede_the_name_and_all_keywords_of_property_declarations (TS1436)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:1439:Diagnostics.Type_alias_must_be_given_a_name	diagnostic	Diagnostics.Type_alias_must_be_given_a_name (TS1439)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
