contract	upstream_symbols	upstream_location	moonbit_implementation	test_location	status	notes
names_and_property_names	createQualifiedName;parseRightSideOfDot;parseEntityName;isLiteralPropertyName;isImportAttributeName;parsePropertyNameWorker;parsePropertyName;parseComputedPropertyName;parsePrivateIdentifier	src/compiler/parser.ts:2703-3617	parser_names_literals.mbt;parser_tokens.mbt	parser_core_wbtest.mbt;parser_types_wbtest.mbt	complete	Entity and qualified names preserve keyword/private/computed/literal forms; tokenIsIdentifierOrKeyword deliberately includes PrivateIdentifier exactly as upstream.
literals_and_templates	parseTemplateSpans;parseTemplateExpression;parseTemplateType;parseTemplateTypeSpans;parseTemplateTypeSpan;parseLiteralOfTemplateSpan;parseTemplateSpan;parseLiteralNode;parseTemplateHead;parseTemplateMiddleOrTemplateTail;getTemplateLiteralRawText;parseLiteralLikeNode	src/compiler/parser.ts:3655-3781	parser_names_literals.mbt	parser_types_wbtest.mbt	complete	Expression and type templates share raw/cooked literal parsing and exact span/list ranges; The expression parser supplies the full expression callback.
references_predicates_and_queries	parseEntityNameOfTypeReference;parseTypeArgumentsOfTypeReference;parseTypeReference;parseThisTypePredicate;parseThisTypeNode;parseTypeQuery	src/compiler/parser.ts:3788-3953	parser_names_literals.mbt;parser_types.mbt	parser_types_wbtest.mbt	complete	Covers qualified references, type arguments, this predicates, type queries, and line-break-sensitive type-query arguments.
type_parameters	parseTypeParameter;parseTypeParameters	src/compiler/parser.ts:3955-3991	parser_parameters_signatures.mbt	parser_types_wbtest.mbt	complete	Variance and const modifiers, constraints, expression-shaped invalid constraints, defaults, bracket recovery, and NodeArray ranges are retained.
parameters_returns_and_predicates	isStartOfParameter;parseNameOfParameter;isParameterNameStart;parseParameter;parseParameterForSpeculation;parseParameterWorker;parseReturnType;shouldParseReturnType;parseParametersWorker;parseParameters;parseTypeAnnotation;parseTypeOrTypePredicate;parseTypePredicatePrefix;parseAssertsTypePredicate	src/compiler/parser.ts:3993-4169,4912-4964	parser_lists.mbt;parser_parameters_signatures.mbt	parser_types_wbtest.mbt	complete	Identifier/this/rest/optional/default parameters and return predicates are covered; binding-pattern construction is completed by statement/declaration parsing.
type_members_and_signatures	parseTypeMemberSemicolon;parseSignatureMember;isIndexSignature;isUnambiguouslyIndexSignature;parseIndexSignatureDeclaration;parsePropertyOrMethodSignature;isTypeMemberStart;parseTypeMember;nextTokenIsOpenParenOrLessThan;nextTokenIsDot;nextTokenIsOpenParenOrLessThanOrDot;parseTypeLiteral;parseObjectTypeMembers	src/compiler/parser.ts:4173-4390	parser_lists.mbt;parser_parameters_signatures.mbt;parser_types.mbt	parser_types_wbtest.mbt	complete	Call, construct, index, method, property, and computed/private/literal-name members preserve field and range shape; accessor declaration bodies remain in statement/declaration parsing.
mapped_tuple_and_parenthesized_types	isStartOfMappedType;parseMappedTypeParameter;parseMappedType;parseTupleElementType;isNextTokenColonOrQuestionColon;isTupleElementName;parseTupleElementNameOrTupleElementType;parseTupleType;parseParenthesizedType	src/compiler/parser.ts:4392-4499	parser_types.mbt	parser_types_wbtest.mbt	complete	Covers plus/minus readonly/question modifiers, remapping, residual members, named/optional/rest tuple shapes, and parenthesized types; tuple grammar diagnostics belong to the checker upstream.
function_literal_and_import_types	parseModifiersForConstructorType;parseFunctionOrConstructorType;parseKeywordAndNoDot;parseLiteralTypeNode;isStartOfTypeOfImportType;parseImportType;nextTokenIsNumericOrBigIntLiteral;parseImportAttribute;parseImportAttributes	src/compiler/parser.ts:4501-4588,8448-8484	parser_parameters_signatures.mbt;parser_types.mbt	parser_types_wbtest.mbt	complete	Function/abstract-constructor, keyword/literal, and import types include qualifier, arguments, with/assert attributes, string names, trailing commas, and resolution-mode shape.
postfix_operators_and_infer	parseNonArrayType;isStartOfType;isStartOfParenthesizedOrFunctionType;parsePostfixTypeOrHigher;parseTypeOperator;tryParseConstraintOfInferType;parseTypeParameterOfInferType;parseInferType;parseTypeOperatorOrHigher	src/compiler/parser.ts:4589-4793	parser_lists.mbt;parser_types.mbt	parser_types_wbtest.mbt	complete	Array/indexed access, keyof/unique/readonly, infer constraints, conditional lookahead rollback, and all non-JSDoc TypeScript type atoms are covered.
unions_intersections_conditionals	parseFunctionOrConstructorTypeToError;parseUnionOrIntersectionType;parseIntersectionTypeOrHigher;parseUnionTypeOrHigher;nextTokenIsNewKeyword;isStartOfFunctionTypeOrConstructorType;skipParameterStart;isUnambiguouslyStartOfFunctionType;parseType	src/compiler/parser.ts:4795-4960	parser_types.mbt;parser_state.mbt	parser_types_wbtest.mbt	complete	Precedence, associativity, DisallowConditionalTypes, infer ambiguity, and all four function/constructor parenthesization diagnostics match the parser reference.
