contract	upstream_symbols	upstream_location	moonbit_implementation	test_location	status	notes
invocation_state	initializeState;clearState	src/compiler/parser.ts:1735-1811	parser_state.mbt	parser_core_wbtest.mbt;scripts/audit-parser-core.mjs	complete	ParserState and Scanner are invocation-local rather than parser-module singletons; dispose clears every retained source and mutable collection.
context_flags	setContextFlag;setDisallowInContext;setYieldContext;setDecoratorContext;setAwaitContext;doOutsideOfContext;doInsideOfContext;allowInAnd;disallowInAnd;allowConditionalTypesAnd;disallowConditionalTypesAnd;doInYieldContext;doInDecoratorContext;doInAwaitContext;doOutsideOfAwaitContext;doInYieldAndAwaitContext;doOutsideOfYieldAndAwaitContext;inContext;inYieldContext;inDisallowInContext;inDisallowConditionalTypesContext;inDecoratorContext;inAwaitContext	src/compiler/parser.ts:2040-2141	parser_state.mbt	parser_core_wbtest.mbt	complete	The five upstream context bits are scoped and inherited exactly; speculative callbacks must restore them naturally.
diagnostic_and_token_bridge	parseErrorAtCurrentToken;parseErrorAtPosition;parseErrorAt;parseErrorAtRange;scanError;getNodePos;token;nextTokenWithoutCheck;nextTokenAnd;nextToken;nextTokenJSDoc;nextJSDocCommentTextToken;reScanGreaterToken;reScanSlashToken;reScanTemplateToken;reScanLessThanToken;reScanHashToken;scanJsxIdentifier;scanJsxText;scanJsxAttributeValue	src/compiler/parser.ts:2143-2254	parser_state.mbt;parser_tokens.mbt	parser_core_wbtest.mbt;scanner_wbtest.mbt	complete	Additional question, asterisk-equals, and JSX rescan wrappers keep all direct scanner mutation behind ParserState.
speculation	speculationHelper;lookAhead;tryParse	src/compiler/parser.ts:2256-2306	parser_state.mbt	parser_core_wbtest.mbt	complete	Reparse is the third SpeculationKind path inside speculationHelper; counts, interning, and arrow-cache writes intentionally commit across rollback.
expected_tokens_and_asi	parseExpected;parseExpectedJSDoc;parseExpectedMatchingBrackets;parseOptional;parseOptionalToken;parseOptionalTokenJSDoc;parseExpectedToken;parseExpectedTokenJSDoc;parseTokenNode;parseTokenNodeJSDoc;canParseSemicolon;tryParseSemicolon;parseSemicolon	src/compiler/parser.ts:2338-2598	parser_tokens.mbt	parser_core_wbtest.mbt	complete	Matching-bracket related information, explicit semicolons, close-brace/EOF/line-break ASI, and JSDoc token advancement are distinct paths.
missing_semicolon_diagnostics	parseErrorForMissingSemicolonAfter;parseErrorForInvalidName;getSpaceSuggestion	src/compiler/parser.ts:2364-2448	parser_tokens.mbt	parser_core_wbtest.mbt	complete	Covers tagged templates, declaration-like names, blank-name variants, spelling suggestions, unknown tokens, and generic fallback.
node_finishing	createNodeArray;finishNode;createMissingNode;internIdentifier	src/compiler/parser.ts:2600-2646	parser_state.mbt;node_finish.mbt	parser_core_wbtest.mbt;parser_lists_wbtest.mbt	complete	Error-before-next-node is consumed once; missing-list identity uses an invocation-local side table.
identifiers	isBindingIdentifier;isIdentifier;createIdentifier;parseBindingIdentifier;parseIdentifier;parseIdentifierName;parseIdentifierNameErrorOnUnicodeEscapeSequence	src/compiler/parser.ts:2308-2336,2648-2700	parser_tokens.mbt	parser_core_wbtest.mbt	complete	Identifier interning and original keyword kind are retained; invalid private and Unicode-escape forms recover without throwing.
property_names	isLiteralPropertyName;isImportAttributeName;parsePropertyNameWorker;parsePropertyName;parseComputedPropertyName	src/compiler/parser.ts:2702-2740	parser_tokens.mbt	parser_core_wbtest.mbt	complete	The worker is split into literal, private, identifier-name, and computed branches with the same result kinds.
list_predicates	isListElement;isValidHeritageClauseObjectLiteral;nextTokenIsIdentifier;nextTokenIsIdentifierOrKeyword;nextTokenIsIdentifierOrKeywordOrGreaterThan;isHeritageClauseExtendsOrImplementsKeyword;nextTokenIsStartOfExpression;nextTokenIsStartOfType;isListTerminator;isVariableDeclaratorListTerminator;isInSomeParsingContext	src/compiler/parser.ts:2835-3092	parser_lists.mbt	parser_lists_wbtest.mbt;docs/upstream-audit/parsing-context.tsv	complete	All 26 real contexts have exact bit positions, representative starts, universal EOF termination, context-specific termination, and recovery diagnostics.
list_parsing	parseList;parseListElement;abortParsingListOrMoveToNextToken;parsingContextErrors;parseDelimitedList;getExpectedCommaDiagnostic;createMissingList;isMissingList;parseBracketedList	src/compiler/parser.ts:3094-3119,3409-3587	parser_lists.mbt	parser_lists_wbtest.mbt	complete	Ordinary, delimited, and bracketed loops record fullStart and either advance or terminate; trailing commas and semicolon recovery are retained.
incremental_reuse_exclusion	currentNode;consumeNode;isReusableParsingContext;canReuseNode;isReusableClassMember;isReusableSwitchClause;isReusableStatement;isReusableEnumMember;isReusableTypeMember;isReusableVariableDeclaration;isReusableParameter	src/compiler/parser.ts:3121-3387	parser_lists.mbt	parser_lists_wbtest.mbt;scripts/audit-parser-core.mjs	complete	Intentionally absent: there is no syntax cursor or general incremental reuse branch; private top-level-await range reparse remains a later dedicated path.
